title,description,url
"COVID-19: RESOURCES - City of Pinole, CA",Contra Costa County is the first county in the Bay Area to offer free COVID-19 ... resources for California small businesses impacted by COVID-19 and ...,http://www.ci.pinole.ca.us/city_government/coronavirus_covid_19_/c_o_v_i_d-19__r_e_s_o_u_r_c_e_s
Employer - Workforce Development Board of Contra Costa ...,"COVID-19 Update to Contra Costa County Businesses, Employers, and Workers ... Board of Contra Costa County has partnered with the California Employers' ...",https://www.wdbccc.com/bounce-back-contra-costa/employer/
A Comprehensive List of Links & Resources on COVID-19,"Facebook has grants available for small businesses in Contra Costa County, ... California Coronavirus Resources (including financial, small business, ...",https://www.ci.oakley.ca.us/a-comprehensive-list-of-links-resources-on-covid-19/
"COVID-19 Resources – City of Antioch, California",Food Distribution Map for Contra Costa County ... for working capital to small businesses suffering substantial economic injury as a result of COVID-19.,https://www.antiochca.gov/community/coronavirus-covid-19-information/covid-19-resources/
Contra Costa Micro-Enterprise Relief Fund available for small ...,The Contra Costa County Micro-Enterprise Relief Fund offers grants to micro-businesses impacted by the COVID-19 pandemic in Contra Costa ...,https://contracostaherald.com/contra-costa-micro-enterprise-relief-fund-available-for-small-businesses-impacted-by-covid/
"Small Business Assistance (Covid-19) - City of Brentwood, CA","To assist businesses, the City of Brentwood Economic Development Division is ... Contra Costa County Health Services has provided information and guidance ...",https://www.brentwoodca.gov/gov/cd/ed/about/small_business_assistance/default.asp
Apply by Jan. 13 for Small Business Relief Grants - CCARToday,"The program provides micro grants ranging from $5,000 to $25,000 to eligible small businesses (including independent contractors and sole proprietors) impacted ...",https://ccartoday.com/small-business-relief-grants/
State and Local Funding in the American Rescue Plan,Funding Allocated to California's Fifth District (Estimated). The State of California will receive $26.2 billion. Contra Costa County and its cities will ...,https://mikethompson.house.gov/state-and-local-funding-in-the-american-rescue-plan
Non Profit | Contra Costa Regional Health Foundation | United ...,"Contra Costa Regional Health Foundation is a non-profit organization that works with the Contra Costa Health Services in its work to improve the health, ...",https://www.ccrhf.org/
OUR RESPONSE TO COVID-19 | CCRHF.org,"Between March 2020 and April 2021, we granted over $2M to non profits and community-based organizations in Contra Costa County. ​​. The COVID-19 pandemic ...",https://www.ccrhf.org/copy-of-community
Donations - Contra Costa Health Services,"ALL funding received through the Charity Campaign goes directly to patient care or equipment. Meals on Wheels of Contra Costa P.O. Box 3195, Martinez, CA 94553",https://cchealth.org/volunteer/donations.php
Area Agency on Aging | EHSD,Our mission at the Contra Costa County Area Agency on Aging (AAA) is to ... their older neighbors that they may have concern for during the COVID pandemic.,https://ehsd.org/elderly-disabled/area-agency-on-aging/
COVID19: GET SUPPORT - East Bay Housing Organizations,CA Undocumented Resident Relief Funds. Relief funds for Alameda and Contra Costa Counties are distributed by Catholic Charities East Bay.,https://ebho.org/resources/covid19-get-support/
ERAP - RCF Connects - Richmond Community Foundation,"That's why we are calling all NON-PROFIT ORGANIZATIONS, CHURCHES and COMMUNITY ORGANIZATIONS assisting folks in Contra Costa County to submit their RFP.",https://www.rcfconnects.org/erap/
"Lesher Foundation (Contra Costa County, California)","Grants are limited to qualified nonprofit organizations located in or directly serving residents of Contra Costa County, California. Deadline Details.",https://www.homelandsecuritygrants.info/GrantDetails.aspx?gid=30027
Other Business Assistance Resources - Danville.ca.gov,Contra Costa County Assistance for the Business Community is available at (833) 320-1919. Tax Relief. Exclude PPP Loans from State Taxes: Governor Newsom signed ...,https://www.danville.ca.gov/872/Other-Business-Assistance-Resources
COVID-19 Update - Workforce Development Board of Contra ...,"COVID-19 Update to Contra Costa County Businesses, Employers, and Workers ... The Small Business Association (SBA) is providing Disaster Assistance Loans.",https://www.wdbccc.com/covid-19/
COVID 19 (Coronavirus) - Updates - AnewAmerica,U.S. Small Business Administration (SBA) Disaster Loans ... Contra Costa County. https://www.contracosta.ca.gov/. San Mateo County. https://www.smcgov.org/.,https://www.anewamerica.org/en/services/covid-19-coronavirus-updates
COVID Relief Resources for Small Businesses - MCE Clean ...,"MCE Resources for small businesses during COVID-19, COVID-19 Relief for businesses ... California Rebuilding Fund ... Contra Costa County Resources.",https://www.mcecleanenergy.org/covid-small-business/
Covid-19 Resources - TriValleyConnect.org,Contra Costa County Small Business Development Center ... The California SBDC has created a COVID-19 Small Business Survival Guide. Download the Guide (PDF) ...,https://trivalleyconnect.org/covid-19-resources/
Local Assistance | The US Small Business Administration,California SBDC - Orange County and Inland Empire SBDC CSU Fullerton - Santa Ana ... Contra Costa SBDC ... Loans for Your Small Business (Yucaipa).,https://www.sba.gov/tools/local-assistance/map/filter/789c2b2e492c49b57276b42a482c2ac94b2d2ab6323736b500005d84079a
Grants - Working Solutions CDFI,California Microbusiness COVID-19 Relief Grant Program: Microbusinesses in select counties in California may now apply for small grants from the California ...,https://www.workingsolutions.org/resource-guide-grants
Covid 19 resources - Child Abuse Prevention Council of ...,Contra Costa County COVID-19 Food Distribution Map https://cccgis.link/Food ... You must apply with the nonprofit organization assigned to the county where ...,https://capc-coco.org/resources/covid-19-resources/
COVID-19 Financial Help - North Coast SBDC,"Stay tuned for updated listings of grants, low-interest loans, ... non-profit organizations in designated counties of California and other states to help ...",https://www.northcoastsbdc.org/resource/covid-19-financial-help/
Contra Costa Health Services :: CCHS main page :: Contra ...,"Contra Costa Health Services - Contra Costa County, California, USA.",https://cchealth.org/
COVID-19 Resources for Local Businesses & Employers,"These workshops are available to Contra Costa County based businesses and are very ... The University of California, Berkeley - New Business Community Law ...",https://www.el-cerrito.org/1422/COVID-19-Resources-for-Local-Businesses
Coronavirus Resources | Congressman Mark DeSaulnier,Coronavirus Resources · Contra Costa County Resources · Federal Resources · California Resources.,https://desaulnier.house.gov/services/coronavirus-resources
Contra Costa County COVID-19 (Coronavirus) Resources ...,Contra Costa County COVID-19 (Coronavirus) Resources [Condado de Contra Costa ... Get an interest free loan for Jewish residents of Northern California.,https://www.1degree.org/collections/6549-contra-costa-county-condado-de-contra-costa-contra-costa-county-ca-usa/financial-support-d92ec9a7-601b-4405-8bbc-2a903cba8695
California - USDA Rural Development,Breadcrumb. Home; California ... NEWS: USDA Rural Development COVID-19 Response. USDA Rural Development ... Business & Co-op Programs: (661) 281-2736,https://www.rd.usda.gov/ca
COVID-19 Resources - Walnut Creek Chamber of Commerce,Contra Costa County Employment and Human Resources – More Info ... CORONAVIRUS EMERGENCY LOANS Guide and Checklist for Small Businesses and Nonprofits ...,https://walnut-creek.com/covid-19-resources-2/
Contra Costa County | Habitat for Humanity EBSV,Mobile homes are only eligible for grants while single family homes may qualify for grants or loans. Habitat makes repairs that directly impact a homeowner's ...,https://www.habitatebsv.org/services/home-repair/contra-costa-county
COVID-19 (Novel Coronavirus) | EHSD,"California Dept. of Social Services. COVID-19 Call Center (844) 729-8410, ... Contra Costa Health Orders ... CC County COVID-19 Social Services Snapshot.",https://ehsd.org/overview/covid-19/
Contra Costa Public Health,"Press Release: WIC Services in Contra Costa County Available by Phone; Jan 22, 2020. Providers Health Alert: 2019 Novel Coronavirus (2019-nCoV).",https://cchealth.org/public-health/
"Funding :: Health, Housing & Homeless","The Contra Costa County Health, Housing & Homeless Services mission is to ensure an integrated system of care from prevention through intervention for ...",https://cchealth.org/h3/coc/funding.php
Contra Costa County - Treasury Department,Coronavirus State and Local Fiscal Recovery Funds (CSLFRF) will support and improve the ongoing response to COVID-19 within Contra Costa County in three main ...,https://home.treasury.gov/system/files/136/Contra-Costa-County_2021-Recovery-Plan_SLT-0530.pdf
Grants Database - Lesher Foundation,189 Results — Support of Try It Truck program in Contra Costa County ... COVID-19 funding; Capital support for the Bridge of Hope Center for Women and Children.,https://lesherfoundation.org/grants/grants-database/
COVID-19 Information - Contra Costa County,Community members facing financial hardship resulting from COVID-19 may be eligible for assistance through the Season of Sharing (SOS) Emergency Relief Fund ...,https://www.contracosta.ca.gov/7766/COVID-19-Information
Eviction and Rent Freeze Ordinance FAQs - Contra Costa ...,Emergency Rental Assistance is available to Contra Costa tenants and landlords. Check eligibility and apply online for COVID-19 Rent Relief in multiple ...,https://www.contracosta.ca.gov/7836/Eviction-and-Rent-Freeze-Ordinance-FAQs
COVID-19 Rent Relief Program - Contra Costa County,Tenants and landlords can contact the CA COVID-19 Rent Relief Call Center at 1-833-430-2122 for assistance to apply in many languages.,https://www.contracosta.ca.gov/CivicAlerts.aspx?AID=2554
Over $75 million in COVID-19 Rent Relief for Contra Costa ...,"Martinez, CA) – Starting March 15, 2021, Contra Costa County tenants and landlords impacted by COVID-19 can apply for assistance from the ...",https://www.contracosta.ca.gov/DocumentCenter/View/70048/Contra-Costa-COVID-19-Rent-Relief-Program-News-Release-3152021
Affordable Housing Resources - Contra Costa County,"Income and Rent Limits · CA COVID-19 Rent Relief - Spanish Image · Bay Area Legal Aid (510) 250-5720 (925) 219-3325. Free civil legal advice, counsel and ...",https://www.contracosta.ca.gov/4807/Affordable-Housing
Rent assistance in Contra Costa County - Need Help Paying ...,Rental assistance programs can help with housing expenses in Contra Costa County California. Get information on places to call for emergency rent or ...,https://www.needhelppayingbills.com/html/contra_costa_county_rent_assis.html
COVID-19 Resources - Volunteer Opportunities Concord CA ...,"Need Help Paying Bills: Housing and Financial Assistance ... Meals Services During School Closures, Contra Costa County provided by local school districts",https://www.cccocasa.org/menus/covid-19-resources.html
Contra Costa County allocates more money for rent relief,"That included billions in Emergency Rental Assistance Program funding, from which Contra Costa got its $71 million. So far, the county has paid ...",https://www.mercurynews.com/2021/10/19/contra-costa-county-allocates-federal-funds-for-tenants-who-cant-make-rent
CALIFORNIA COVID-19 RENT ASSISTANCE PROGRAM,"Come check us out! Take A Tour · Contra Costa College Footer Logo. 2600 Mission Bell Drive San Pablo, CA. 94806.",https://www.contracosta.edu/ca-covid-19-rent-relief/
Contra Costa County - Bay Area Legal Aid,"As COVID-19 case rates in the Bay Area continue to fall, vaccination rates climb, and statewide pandemic safety measures begin to loosen, BayLegal offices will ...",https://baylegal.org/get-help/find-an-office/contra-costa-county/
"SHELTER, Inc. : Rental Assistance Self-Service Registration ...","While the State of California is running the COVID-19 rental assistance programs, some of our rental ... Contra Costa County residents: please click here.",https://forms.shelterinc.org/renthelp/renthelp.html
"Get Help in Contra Costa County, CA","Financial Assistance for Housing in Contra Costa County, CA · California's COVID-19 Rent Relief · Contra Costa Affordable Housing resources · Shelter Inc.",https://legalfaq.org/getHelp/ca/contracostacounty
"News Flash • Contra Costa County, CA • CivicEngage","COVID-19 Emergency Relief Fund ... In partnership with the San Francisco Chronicle Season of Sharing (SOS) Program, the Contra Costa County ...",https://www.contracosta.ca.gov/CivicAlerts.aspx?AID=2926
"News Flash • Contra Costa County, CA • CivicEngage","Starting March 15, 2021, Contra Costa County tenants and landlords impacted by COVID-19 can apply for assistance from the COVID-19 Rent Relief program. Over ...",https://www.contracosta.ca.gov/CivicAlerts.aspx?CID=80
For Businesses and Workers | Coronavirus - covid-19 - Contra ...,Contra Costa County's Health Officer also strongly recommends that businesses ... for unvaccinated workers indoors by Cal/OSHA COVID-19 Emergency Temporary ...,https://www.coronavirus.cchealth.org/for-businesses
Superior Court of California - County of Contra Costa,"Please check this page for updated rules as they become available. ORDERS IMPLEMENTING EMERGENCY RELIEF (Currently Operative) FEBRUARY 24, 2022 (Criminal Trials ...",https://www.cc-courts.org/
"News Flash • Contra Costa County, CA • CivicEngage",Emergency Alert COVID-19 Rent Relief Rent and Utilities Help for Tenants and Landlords Check eligibility and apply in many languages Ayuda con la renta o ...,http://co.contra-costa.ca.us/CivicAlerts.aspx?ARC=L&What=1&CC=0&From=CID%3D91
COVID-19 Information & Resources - Contra Costa County ...,Contra Costa County Office of Education (CCCOE) is working closely with Contra Costa Health Services ... The State of California Safe Schools for All Hub ...,https://www.cccoe.k12.ca.us/news/spotlight/information_about_coronavirus
EHSD | Employment & Human Services,"Human Services in Contra Costa County during COVID-19 ... We promote workforce development that meets business, job seeker, and worker needs, ...",https://ehsd.org/
Concord Forward | COVID-19 Resources,Measure V Commercial Rent Relief Program (Closed); Concord (& County) Eviction Moratorium; Business License Relief Program; Building & Planning Permits ...,https://concordfirst.com/local-business/covid-19-resources/
COVID-19 Resources for Lafayette Residents & Businesses,Lafayette Business Assistance Program · Lafayette Chamber of Commerce List of Open Businesses · Contra Costa County Workforce Development Board COVID-19 Business ...,https://www.lovelafayette.org/city-hall/city-departments/parks-trails-recreation/senior-services/covid-19-resources
How counties are investing Coronavirus Recovery Funds,Contra Costa County is Investing $112 million in Recovery Funds to address immediate public health needs while also preparing for future ...,https://www.naco.org/blog/naco-county-explorer-how-counties-are-investing-coronavirus-recovery-funds
Contra Costa and Solano Counties - The California Apartment ...,Contra Costa Regional Health Foundation: The Silicon Valley Community ... and those at imminent risk of homelessness who have been impacted by COVID-19.,https://caanet.org/contra-costa-and-solano-counties/
WDBCCC Partner Highlights - Workforce Development Board ...,A key partner for the WDBCCC is California's Employment Development Department ... recovery for all in Contra Costa County and is actively working with the ...,https://www.wdbccc.com/partner-highlights/
COVID-19 LA County Response Fund - California Community ...,"California Community Foundation (CCF) launched the COVID-19 LA County Response ... Including community foundations and agencies from: Alameda, Contra Costa, ...",https://www.calfund.org/covid-19/
Contra Costa County coronavirus cases: Tracking the outbreak,The California Department of Public Health releases data tracking the spread of the coronavirus in Contra Costa County. About 1 out of every 6 people in the ...,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/contra-costa-county/
Equitable Economic Recovery Task Force Resources,"In the wake of the COVID-19 crisis, we will rebuild better, generating higher-quality jobs and wealth creation opportunities in Contra Costa County that ...",https://www.ccpartnership.org/task-force-resources
Martinez Unified School District,COVID-19 Relief Funding Presentation MUSD. Covid-19 FAQ. The California Department of Public Health released updated recommendations for K-12 schools on ...,https://www.martinezusd.net/
AGENDA - Contra Costa County,California Emergency Solutions and Housing program (state funding) ... Continuum of Care approach to assistance to the homeless.,https://www.contracosta.ca.gov/AgendaCenter/ViewFile/Agenda/_03032022-4115
Tobacco Prevention Project - Contra Costa Health Services,The Contra Costa Tobacco Prevention Project (TPP) is dedicated to reducing and ultimately eliminating tobacco use and exposure in the county.,https://cchealth.org/tobacco/
Rainbow Community Center gives LGBTQI+ a safe haven to ...,Donations will help support 56 nonprofit agencies in Contra Costa and Alameda counties. The nonprofit plans to use its grant to make the ...,https://www.eastbaytimes.com/2021/12/21/share-the-spirit-rainbow-community-center-is-a-lifeline-for-lgbtqi-youth-seeking-acceptance-for-who-they-are
COVID-19 resources and links - East Bay Getting to Zero,"COVID supports (food, housing, stipends, etc.): Alameda County resources and ARCH isolation stipends, Contra Costa County, Solano County; Public Health ...",https://www.ebgtz.org/covid-resources/
COVID-19 Updates - SF LGBT Center,Please leave a voicemail and we will return your call within one business day. ... Contra Costa and Alameda counties) are expected to announce a “shelter in ...,https://www.sfcenter.org/covid-19-update/
Legal Services for Entrepreneurs - LCCRSF - Lawyers ...,"To request advice or help with loans related to COVID-19, please do not fill out ... small business owners in Contra Costa County with: Operations/Financial ...",https://lccrsf.org/get-assistance/legal-services-for-entrepreneurs/
CA 16332 -01 SBA Offers Disaster Assistance to California ...,CA 16332 -01 SBA Offers Disaster Assistance to California Small Businesses Economically Impacted by the Coronavirus (COVID-19) ; Contra Costa. El ...,https://www.sba.gov/content/ca-16332-01-sba-offers-disaster-assistance-california-small-businesses-economically-impacted
Local Assistance | The US Small Business Administration,"Sacramento District Office. Sacramento District Office. 6501 Sylvan Road Suite 100. Citrus Heights, CA 95610. Phone: 916-735-1700 ... Contra Costa SBDC.",https://www.sba.gov/tools/local-assistance/94203/local-resources/0/100
COVID-19 Digest: Updates from Cal Wellness,"Architects have long designed workplaces that support human health but which ... The city of San Pablo, located in Contra Costa County, has a high Latino ...",https://www.calwellness.org/stories/the-wellness-update/
2021 News - Cal State East Bay,Alumnus Tyrell Brown co-founded a non-profit to help veterans and others in need of ... for Small Business Development in Alameda and Contra Costa Counties.,https://www.csueastbay.edu/news-center/2021/index.html
Find rental assistance | U.S. Department of the Treasury,"In most cases, states encourage tenants and landlords to apply to the local ERA program in their area. Find programs in... U.S. States; U.S. ...",https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/emergency-rental-assistance-program/program-index
Coronavirus Timeline: Tracking major moments of COVID-19,California health officials have lifted the statewide COVID-19 indoor mask ... Contra Costa County lifts its vaccine mandate for businesses ...,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
BOARD OF SUPERVISORS - 01/19/2021 - Granicus,"Live and Recorded Public meetings of BOARD OF SUPERVISORS - 01/19/2021 for Contra Costa County, CA.",http://contra-costa.granicus.com/MediaPlayer.php?publish_id=d8104cd6-5b74-11eb-920e-0050569183fa
ACCMA in the News - Alameda-Contra Costa Medical ...,"Seema Sidhu, co-author an op-ed in support of public health officials. The doctor is in, but coronavirus changes the look and feel of the office visit - (6/14/ ...",https://www.accma.org/ACCMA-in-the-News
COVID-19 Vaccination and Testing; Emergency Temporary ...,"Conversely, a study on farmworkers in Monterey County, California found ... against COVID-19 within a week of the deadline of the company's ...",https://www.federalregister.gov/documents/2021/11/05/2021-23643/covid-19-vaccination-and-testing-emergency-temporary-standard
"The Weekly Roundup, January 29, 2021 - Latest News | City ...","County Information: For COVID-19 information and resources, visit Contra Costa County at www.contracosta.ca.gov and Contra Costa Health Services ...",https://www.lovelafayette.org/Home/Components/News/News/8925/
"San Francisco Chronicle - Bay Area news, sports, tech, food ...","Exclusive Bay Area and San Francisco breaking news, sports, tech, and food and wine coverage, plus enhanced coverage of Giants, 49ers and Warriors.",https://www.sfchronicle.com/
California Eviction Bans | Coronavirus | Nolo,"Still, some tenant protections remain in place, and a significant amount of Government rent assistance is also available.To see if any remaining benefits apply ...",https://www.nolo.com/legal-encyclopedia/coronavirus-covid-19-california-eviction-bans-and-tenant-protections.html
COVID-19 Response Emergency Fund Grantee Partners,These grants will fund COVID-19 responsive programming and provide immediate ... of older LGBT residents of the East Bay (Alameda and Contra Costa Counties) ...,https://www.horizonsfoundation.org/covid19/grantee-partners/
Minority Business Enterprise - Contra Costa County,COVID-19 Rent Relief Rent and Utilities Help for Tenants and Landlords ... At least 51% owned and managed on a daily basis by one or more minorities who are ...,https://www.contracosta.ca.gov/4590/Minority-Business-Enterprise
Small Business Enterprise Programs - Contra Costa County,"For Contra Costa County's Small Business Enterprise Program, a SBE is an eligible Small Business Enterprise, as defined by the California Government Code, ...",https://www.contracosta.ca.gov/4517/Small-Business-Enterprise-Programs
Disadvantaged Business Enterprise Programs - Contra Costa ...,"As part of these programs, agencies must establish contract goals for the participation of DBEs and work with contractors and consultants to help them meet ...",https://www.contracosta.ca.gov/4515/Disadvantaged-Business-Enterprise-Progra
"Business and Economic Development | Richmond, CA",This data includes all California Small Business Covid-19 Relief Grant Program awardees as of 5-13-2021 that applied in Contra Costa County with the ...,https://www.ci.richmond.ca.us/2766/Business-Development
Helpful Links and Tools - East Bay SBDC,Checklist for Starting a Business in California – Tips and tricks for ... Minority Business Development Agency – Web portal dedicated to helping small ...,https://www.eastbaysbdc.org/resource/helpful-links-and-tools/
East Bay SBDC - Northern California Region,East Bay SBDC helped more than 2327 clients navigate through a pandemic and access $57 million in capital to start or grow their business and ...,https://www.eastbaysbdc.org/
Workforce Dev. Bd. of Contra Costa County - Twitter,The Workforce Development Board creates economic vitality by connecting Contra Costa County residents with good jobs & helping businesses find qualified ...,https://twitter.com/wdbccc?lang=en
Business Resources - San Pablo Economic Development ...,"The COVID-19 economy has claimed 15% of small businesses countywide, and according to ... To lift Contra Costa County as a whole and build back stronger, ...",http://www.sanpabloedc.org/covid-19/business-resources
"COVID-19 Small Business Resource Center | Martinez, CA",This page was created to help connect Martinez employers with needed resources during the Contra Costa Shelter-in-Place Orders as well as the period that ...,https://www.cityofmartinez.org/government/coronavirus-covid-19/covid-19-small-business-resource-center
Small Business Administration,"We support America's small businesses. The SBA connects entrepreneurs with lenders and funding to help them plan, start and grow their business.",https://www.sba.gov/
"Contra Costa County, California - U.S. Census Bureau","Contra Costa County, California. QuickFacts provides statistics for all states and counties, and for cities and towns with a population of 5,000 or more.",https://www.census.gov/quickfacts/contracostacountycalifornia
Cal-in-Sac Projects Resources: Covid-19,Calaveras County COVID-19 · Colusa County Public Health · Contra Costa County Health Services: Lists cases as well as links to a data dashboard · Del Norte ...,https://guides.lib.berkeley.edu/c.php?g=1041500&p=7561044
Keeping small businesses on the road to recovery - East Bay ...,A recent Contra Costa focus group found that many small business owners avoided the Paycheck ... Alameda County Workforce Development Board.,https://eastbayleadershipcouncil.com/news/keeping-small-businesses-on-the-road-to-recovery
contra costa county - Agenda,"Employee Organizations and Unrepresented Employees: Public Employees Union, Local 1; AFSCME Locals 512 and 2700; California Nurses Assn.; SEIU ...",http://64.166.146.245/agenda_publish.cfm?id=&mt=ALL&get_month=1&get_year=2022&dsp=ag&seq=1929
County Receives $2.4 Million State Grant for Very Small ...,The County of Santa Clara is receiving approximately $2.4 million from the California Microbusiness COVID-19 Relief Grant Program (MBCRG) to ...,https://news.sccgov.org/news-release/county-receives-24-million-state-grant-very-small-businesses-and-entrepreneurs
New County Program Offers Grants to Small Businesses ...,"The program will issue grants of up to $5,000 to small businesses in Santa Clara County that have taken, or plan to take, steps to protect their ...",https://news.sccgov.org/news-release/new-county-program-offers-grants-small-businesses-taking-steps-reduce-risk-covid-19
Santa Clara - California Small Business COVID-19 Relief ...,California Small Business COVID-19 Relief Grant Program. This Program is funded by the State of California and administered by CalOSBA.,https://careliefgrant.com/partner/santa-clara/
SCC19 Grant - Silicon Valley SBDC,"Grants of up to $5,000 for small businesses to protect employees, customers, and the public from COVID-19. Eligible costs include: • Installation or upgrades of ...",https://www.svsbdc.org/sc-covid-grant/
Business Resources | City of Santa Clara,CA Microbusiness COVID-19 Relief Grant Program. The County of Santa Clara is receiving approximately $2.4 million from the California Microbusiness COVID-19 ...,https://www.santaclaraca.gov/business-development/business-services/business-resources
COVID-19 Business Resources | City of Santa Clara,"Webinar for Shuttered Venue Operators Grant on Thursday, January 14, 2021 · National Small Business Week (Sept. · ""Get Digital CA!"" Program to Help Small ...",https://www.santaclaraca.gov/i-want-to/stay-informed/coronavirus-updates/business-resources
Grant/Funding Opportunities | City of San Jose,"U.S. Small Business Administration (SBA) Coronavirus Relief Options, including Shuttered Venue Operators ... CA CARES: Humanities Relief and Recovery Grants.",https://www.sanjoseca.gov/your-government/departments-offices/cultural-affairs/covid-19-resources-for-our-arts-community/grant-funding-opportunities
Apply for City Grants - San Jose,Updates on City of San José Services and/or Operations (English | Español | Tiếng Việt | 中文). COVID-19 Pandemic Help for Residents | Businesses | Nonprofits.,https://www.sanjoseca.gov/your-government/departments/office-of-the-city-manager/community-grants
Small Businesses | Silicon Valley Strong,"Small Business Administration grants up to $10 million to live venues, ... and the Fair Workplace Collaborative launched Santa Clara County CAN (COVID-19 ...",https://siliconvalleystrong.org/go-virtual/smallbiz/
Silicon Valley Strong Fund,The COVID-19 coronavirus pandemic is already hurting Silicon Valley ... loans available to Santa Clara County small businesses through Opportunity Fund in ...,https://siliconvalleystrong.org/donate/
Grants for Santa Clara County microbusinesses will leave ...,COVID relief for small businesses in Santa Clara County is on the ... The county is waiting to receive $2.4 million from a California ...,https://sanjosespotlight.com/grants-to-santa-clara-county-microbusinesses-will-leave-some-hanging-silicon-valley-san-jose/
Small businesses in Santa Clara County to get $20 million in ...,"This year, using $710,000 from COVID-related health violations, the county dispersed up to $5,000 in grants to around 230 small businesses, ...",https://www.mercurynews.com/2021/12/07/customers-are-still-afraid-to-return-small-businesses-in-santa-clara-county-could-land-20-million-in-pandemic-relief-grants
Project Roomkey/Housing and Homelessness COVID Response,CA Mass Care and Shelter Guidance for Local Governments in a Communicable or Infectious ... Funding Considerations for Homelessness Response During COVID.,https://www.cdss.ca.gov/inforesources/cdss-programs/housing-programs/project-roomkey
COVID-19 Business Resources and Guidance - City of Los Altos,"The County of Santa Clara announced the Rescission of August 2, ... rounds for the California Small Business COVID-19 Relief Grant Program provided grants ...",https://www.losaltosca.gov/citymanager/page/covid-19-business-resources-and-guidance
Small Business Grants Support Those Hit Hardest by COVID,"Santa Clara County, California is unveiling a new grant program to support micro businesses in the area. The $2.4 million grant comes from ...",https://smallbiztrends.com/2022/01/latest-small-business-covid-grants-january-2022.html
Santa Clara Co. Gets $2.4M For COVID-Affected Small ... - Patch,"Santa Clara Co. Gets $2.4M For COVID-Affected Small Businesses - Gilroy, CA - The funds will enable the county to provide $2500 grants to ...",https://patch.com/california/gilroy/santa-clara-co-gets-2-4m-covid-affected-small-businesses
COVID-19 Guidance | City of San Jose,"Looking for information and assistance with loans, grants, legal help and more? ... News; Business Support; Business Reopening and Recovery; Videos ...",https://www.sjeconomy.com/
